#Resolution = MIN
#Settling time = 0.7s
datetime, level, level (hex),  voltage
2023-10-11 14:24:56.399281,43008,a800,3.989808e-01
2023-10-11 14:25:01.155978,53504,d100,4.963312e-01
2023-10-11 14:25:05.959290,28928,7100,2.683774e-01
2023-10-11 14:25:10.731224,13056,3300,1.211190e-01
2023-10-11 14:25:15.496013,62208,f300,5.770427e-01
2023-10-11 14:25:20.288927,13312,3400,1.234936e-01
2023-10-11 14:25:25.044544,59904,ea00,5.556819e-01
2023-10-11 14:25:29.803246,17920,4600,1.662503e-01
2023-10-11 14:25:34.559275,32512,7f00,3.016181e-01
2023-10-11 14:25:39.319199,36096,8d00,3.348738e-01
2023-10-11 14:25:44.093298,48384,bd00,4.488378e-01
2023-10-11 14:25:48.906626,13824,3600,1.282435e-01
2023-10-11 14:25:53.660517,56832,de00,5.271999e-01
2023-10-11 14:25:58.419241,34304,8600,3.182501e-01
2023-10-11 14:26:03.211197,5376,1500,4.987731e-02
2023-10-11 14:26:07.971282,256,100,2.382602e-03
2023-10-11 14:26:12.729675,55808,da00,5.176997e-01
2023-10-11 14:26:17.483917,50432,c500,4.678341e-01
2023-10-11 14:26:22.299428,2560,a00,2.375098e-02
2023-10-11 14:26:27.072436,50688,c600,4.702135e-01
2023-10-11 14:26:31.830635,6912,1b00,6.412357e-02
2023-10-11 14:26:36.647782,7168,1c00,6.649677e-02
2023-10-11 14:26:41.458848,3072,c00,2.850051e-02
2023-10-11 14:26:46.228083,5888,1700,5.462432e-02
2023-10-11 14:26:50.999206,45312,b100,4.203485e-01
2023-10-11 14:26:55.763350,14848,3a00,1.377485e-01
2023-10-11 14:27:00.569780,16896,4200,1.567466e-01
2023-10-11 14:27:05.339417,33024,8100,3.063709e-01
2023-10-11 14:27:10.103358,48896,bf00,4.535889e-01
2023-10-11 14:27:14.924861,26880,6900,2.493622e-01
2023-10-11 14:27:19.710203,65280,ff00,6.055427e-01
2023-10-11 14:27:24.479290,23040,5a00,2.137414e-01
2023-10-11 14:27:29.249935,12800,3200,1.187442e-01
2023-10-11 14:27:34.027197,65024,fe00,6.031700e-01
2023-10-11 14:27:38.832121,44288,ad00,4.108536e-01
2023-10-11 14:27:43.595259,32768,8000,3.039911e-01
2023-10-11 14:27:48.369370,28672,7000,2.659909e-01
2023-10-11 14:27:53.192537,33536,8300,3.111046e-01
2023-10-11 14:27:57.951245,50176,c400,4.654446e-01
2023-10-11 14:28:02.719542,30976,7900,2.873580e-01
2023-10-11 14:28:07.483243,40192,9d00,3.728609e-01
2023-10-11 14:28:12.239356,38912,9800,3.609924e-01
2023-10-11 14:28:16.995869,38400,9600,3.562381e-01
2023-10-11 14:28:21.763398,4096,1000,3.800321e-02
2023-10-11 14:28:26.560742,32256,7e00,2.992425e-01
2023-10-11 14:28:31.321217,14080,3700,1.306166e-01
2023-10-11 14:28:36.085714,26112,6600,2.422317e-01
2023-10-11 14:28:40.897865,51968,cb00,4.820568e-01
2023-10-11 14:28:45.656255,27648,6c00,2.564897e-01
2023-10-11 14:28:50.419266,57856,e200,5.366909e-01
2023-10-11 14:28:55.176630,45056,b000,4.179759e-01
2023-10-11 14:28:59.959243,6400,1900,5.937505e-02
2023-10-11 14:29:04.727245,11264,2c00,1.044942e-01
2023-10-11 14:29:09.516726,56064,db00,5.200658e-01
2023-10-11 14:29:14.330190,30208,7600,2.802531e-01
2023-10-11 14:29:19.104195,9984,2700,9.262243e-02
2023-10-11 14:29:23.873926,49408,c100,4.583510e-01
2023-10-11 14:29:28.671240,20992,5200,1.947508e-01
2023-10-11 14:29:33.451318,24832,6100,2.303672e-01
2023-10-11 14:29:38.228035,20480,5000,1.899997e-01
2023-10-11 14:29:42.995410,37888,9400,3.515011e-01
2023-10-11 14:29:47.787281,8704,2200,8.074921e-02
2023-10-11 14:29:52.557133,47616,ba00,4.417209e-01
2023-10-11 14:29:57.331258,36608,8f00,3.396291e-01
2023-10-11 14:30:02.103210,39424,9a00,3.657516e-01
2023-10-11 14:30:06.887244,36352,8e00,3.372582e-01
2023-10-11 14:30:11.678279,23296,5b00,2.161303e-01
2023-10-11 14:30:16.445463,39168,9900,3.633858e-01
